Artist,Album,Genre,Style,Year,Ratings
Courtney Barnett,Sometimes I Sit and Think and Sometimes I Just Sit,Rock,Indie Pop,2015, 8.6 
Kendrick Lamar,To Pimp a Butterfly,Hip Hop,Conscious,2015, 9.3 
Lightning Bolt,Fantasy Empire,Rock,Experimental,2015, 8.0 
Pyramids,A Northern Meadow,Electronic,Experimental,2015, 8.0 
Tobias Jesso Jr.,Goon,Rock,Indie Rock,2015, 8.5 
Lotic,Heterocetera EP,None,None,2015, 8.0 
Pearson Sound,Pearson Sound,Electronic,Techno,2015, 8.1 
Black Cilice,Mysteries,Electronic,Downtempo,2015, 8.0 
Yowler,The Offer,Rock,Acoustic,2015, 8.0 
Mastery,Valis,Rock,Black Metal,2015, 8.0 
David Borden,Music For Amplified Keyboard Instruments,Electronic,Minimal,2015, 8.0 
Sannhet,Revisionist,Rock,Experimental,2015, 8.1 
Levon Vincent,Levon Vincent,Electronic,Deep House,2015, 8.3 
Various Artists,Punk 45: Extermination Nights in the Sixth City,Rock,Punk,2015, 8.0 
Drake,If You're Reading This It's Too Late,Hip Hop,None,2015, 8.3 
Father John Misty,I Love You Honeybear,None,None,2015, 8.8 
Africa Express,Africa Express Presents... Terry Riley's In C Mali,None,None,2015, 8.1 
Matana Roberts,COIN COIN Chapter Three: river run thee,Electronic,Avant-garde Jazz,2015, 8.2 
Mount Eerie,Sauna,Folk World & Country,None,2015, 8.1 
Jazmine Sullivan,Reality Show,Funk / Soul,Contemporary R&B,2015, 8.1 
Zs,Xe,Jazz,None,2015, 8.0 
Jessica Pratt,On Your Own Love Again,Rock,None,2015, 8.1 
Aphex Twin,Computer Controlled Acoustic Instruments pt2 EP,Electronic,IDM,2015, 8.3 
Natalie Prass,Natalie Prass,Funk / Soul,Vocal,2015, 8.3 
Petite Noir,The King of Anxiety EP,None,None,2015, 8.2 
Bj?rk,Vulnicura,Electronic,Modern Classical,2015, 8.6 
The Go-Betweens,G Stands for Go-Betweens: Volume 1 1978-1984,None,None,2015, 8.2 
Viet Cong,Viet Cong,Rock,Post-Punk,2015, 8.5 
Sleater-Kinney,No Cities to Love,Rock,Alternative Rock,2015, 8.7 
Dawn Richard,Blackheart,Electronic,Dance-pop,2015, 8.0 
Panda Bear,Panda Bear Meets the Grim Reaper,Electronic,Experimental,2015, 8.7 
Red Red Meat,There's a Star Above the Manger Tonight,Rock,Indie Rock,2014, 8.0 
D'Angelo / The Vanguard,Black Messiah,Funk / Soul,Soul,2014, 9.4 
Theo Parrish,American Intelligence,Electronic,House,2014, 8.3 
The Jacka,What Happened to the World,None,None,2014, 8.0 
Leonard Cohen,Live in Dublin,Rock,Pop Rock,2014, 8.0 
Old Man Gloom,The Ape of God,Rock,Post Rock,2014, 8.3 
Juju & Jordash,Clean-Cut,Electronic,Techno,2014, 8.0 
Brian Eno / Jon Hassell,Fourth World Vol. 1: Possible Musics,Electronic,Downtempo,2014, 8.5 
Raspberry Bulbs,Privacy,Electronic,Tech House,2014, 8.2 
Various Artists,I'm Just Like You: Sly's Stone Flower 1969-70,Funk / Soul,None,2014, 8.1 
Andy Stott,Faith in Strangers,Electronic,Experimental,2014, 8.4 
Wilco,Alpha Mike Foxtrot: Rare Tracks 1994?2014,Rock,Country Rock,2014, 7.0 
Ariel Pink,Pom Pom,Rock,Indie Pop,2014, 8.8 
Various Artists,Hyperdub 10.4,Electronic,UK Garage,2014, 8.2 
Cult of Youth,Final Days,Rock,Neofolk,2014, 8.1 
Azealia Banks,Broke With Expensive Taste,Electronic,Pop Rap,2014, 8.0 
Clark,Clark,Electronic,Electro,2014, 8.3 
A Certain Ratio,Sextet,Electronic,Leftfield,2014, 8.1 
Arca,Xen,Electronic,Instrumental,2014, 8.4 
Run the Jewels,Run the Jewels 2,Hip Hop,Conscious,2014, 9.0 
Grouper,Ruins,Electronic,Abstract,2014, 8.8 
Blut Aus Nord,Memoria Vetusta III ? Saturnian Poetry,Rock,Black Metal,2014, 8.2 
Inter Arma,The Cavern EP,None,None,2014, 8.3 
Bing & Ruth,Tomorrow Was the Golden Age,Electronic,Post-Modern,2014, 8.1 
Objekt,Flatland,Electronic,Electro,2014, 8.0 
The Weather Station,What Am I Going to Do With Everything I Know,Folk World & Country,Country,2014, 8.1 
DJ Quik,The Midnight Life,Hip Hop,None,2014, 8.2 
Pharmakon,Bestial Burden,Electronic,Industrial,2014, 8.4 
Boards of Canada,Hi Scores EP,Electronic,IDM,2014, 8.7 
Vince Staples,Hell Can Wait EP,None,None,2014, 8.5 
Marianne Faithfull,Give My Love to London,Rock,Ballad,2014, 8.0 
Ex Hex,Rips,Rock,None,2014, 8.4 
Iceage,Plowing Into the Field of Love,Rock,Post-Punk,2014, 8.5 
Steve Gunn,Way Out Weather,Rock,Folk Rock,2014, 8.0 
Caribou,Our Love,Electronic,Experimental,2014, 8.6 
Godflesh,A World Lit Only by Fire,Rock,Industrial,2014, 8.0 
Flying Lotus,You're Dead!,Electronic,Future Jazz,2014, 8.3 
